ioname,slug,value,date_of_information,ranking,region
"Namibia","namibia","59.1","2015",1,"Africa"
"Botswana","botswana","54.9","2015",2,"Africa"
"Eswatini","eswatini","54.6","2016",3,"Africa"
"Colombia","colombia","53.9","2023",4,"South America"
"Brazil","brazil","51.6","2023",5,"South America"
"Zambia","zambia","51.5","2022",6,"Africa"
"Angola","angola","51.3","2018",7,"Africa"
"Saint Lucia","saint-lucia","51.2","2016",8,"Central America and the Caribbean"
"Mozambique","mozambique","50.3","2019",9,"Africa"
"Zimbabwe","zimbabwe","50.3","2020",10,"Africa"
"Kosovo","kosovo","49.4","2021",11,"Europe"
"Panama","panama","48.9","2023",12,"Central America and the Caribbean"
"Honduras","honduras","46.8","2023",13,"Central America and the Caribbean"
"Singapore","singapore","45.8","2016",14,"East and Southeast Asia"
"Costa Rica","costa-rica","45.8","2024",15,"Central America and the Caribbean"
"Guatemala","guatemala","45.2","2023",16,"Central America and the Caribbean"
"Lesotho","lesotho","44.9","2017",17,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","44.7","2020",18,"Africa"
"Ecuador","ecuador","44.6","2023",19,"South America"
"Turkey (Turkiye)","turkey-turkiye","44.5","2022",20,"Middle East"
"Paraguay","paraguay","44.4","2023",21,"South America"
"South Sudan","south-sudan","44","2016",22,"Africa"
"Grenada","grenada","43.8","2018",23,"Central America and the Caribbean"
"Rwanda","rwanda","43.7","2016",24,"Africa"
"Mexico","mexico","43.5","2022",25,"North America"
"Ghana","ghana","43.5","2016",26,"Africa"
"Chile","chile","43","2022",27,"South America"
"Central African Republic","central-african-republic","43","2021",28,"Africa"
"Uganda","uganda","42.7","2019",29,"Africa"
"Cabo Verde","cabo-verde","42.4","2015",30,"Africa"
"Argentina","argentina","42.4","2023",31,"South America"
"Cameroon","cameroon","42.2","2021",32,"Africa"
"Bolivia","bolivia","42.1","2023",33,"South America"
"United States","united-states","41.8","2023",34,"North America"
"Djibouti","djibouti","41.6","2017",35,"Africa"
"Uruguay","uruguay","40.9","2023",36,"South America"
"Sao Tome and Principe","sao-tome-and-principe","40.7","2017",37,"Africa"
"Malaysia","malaysia","40.7","2021",38,"East and Southeast Asia"
"Peru","peru","40.7","2023",39,"South America"
"Tanzania","tanzania","40.5","2018",40,"Africa"
"Belize","belize","39.9","2018",41,"Central America and the Caribbean"
"Jamaica","jamaica","39.9","2021",42,"Central America and the Caribbean"
"El Salvador","el-salvador","39.8","2023",43,"Central America and the Caribbean"
"Philippines","philippines","39.3","2023",44,"East and Southeast Asia"
"Suriname","suriname","39.2","2022",45,"South America"
"Laos","laos","38.8","2018",46,"East and Southeast Asia"
"Gambia, The","gambia-the","38.8","2020",47,"Africa"
"Kenya","kenya","38.7","2021",48,"Africa"
"Malawi","malawi","38.5","2019",49,"Africa"
"Equatorial Guinea","equatorial-guinea","38.5","2022",50,"Africa"
"Dominican Republic","dominican-republic","38.4","2023",51,"Central America and the Caribbean"
"Bulgaria","bulgaria","38.2","2022",52,"Europe"
"Gabon","gabon","38","2017",53,"Africa"
"Togo","togo","37.9","2021",54,"Africa"
"Israel","israel","37.9","2021",55,"Middle East"
"Sri Lanka","sri-lanka","37.7","2019",56,"South Asia"
"Burundi","burundi","37.5","2020",57,"Africa"
"Chad","chad","37.4","2022",58,"Africa"
